type,destination_country,awards,coordinates.1,coordinates.0
Point,Botswana,895928.11,-22.126,23.662
Point,Burkina Faso,5946217.45,12.2383,-1.5616
Point,Cameroon,3748937.02,7.3697,12.3547
Point,Cote d'Ivoire,7342847.3,7.539989,-5.54708
Point,Egypt,326160,26.8206,30.8024
Point,Ethiopia,103035,9.145,40.4897
Point,Gabon,24300,-0.8037,11.6094
Point,Gambia,837908,13.4432,-15.3101
Point,Ghana,12300832.62,7.9465,-1.0232
Point,Kenya,147013696.5,-1.2921,36.8219
Point,Madagascar,273889.4,-18.7669,46.8691
Point,Malawi,20317530.77,-13.2543,34.3015
Point,Mali,1005374,17.5707,-3.9962
Point,Mozambique,154223,-18.6657,35.5296
Point,Namibia,5000,-22.9576,18.4904
Point,Nigeria,3879155.38,9.082,8.6753
Point,Rwanda,2100788.23,-1.9403,29.8739
Point,Senegal,3224757.21,14.4974,-14.4524
Point,Sierra Leone,168027,8.4606,-11.7799
Point,South Africa,166847470.1,-30.5595,22.9375
Point,Sudan,5000,12.8628,30.2176
Point,Tanzania,20732994.14,-6.369,34.8888
Point,Tunisia,1197348.03,33.8869,9.5375
Point,Uganda,24719315.7,1.3733,32.2903
Point,Zambia,563853.63,-13.1339,27.8493
Point,Zimbabwe,7012361.88,-19.0154,29.1549
Point,Azerbaijan,1866,40.1431,47.5769
Point,Bangladesh,9696125.74,23.685,90.3563
Point,Cambodia,763522.74,12.5657,104.991
Point,China,1476709.66,35.8617,104.1954
Point,India,192364697.7,20.5937,78.9629
Point,Indonesia,1188651,-0.7893,113.9213
Point,Israel,500404.17,31.0461,34.8516
Point,Japan,32122643.87,36.2048,138.2529
Point,Lebanon,527482,33.8547,35.8623
Point,Malaysia,5914436.16,4.2105,101.9758
Point,Nepal,244644.58,28.3949,84.124
Point,Pakistan,4896221,30.3753,69.3451
Point,Palestinian Territories,583792.39,31.9522,35.2332
Point,Philippines,30000,12.8797,121.774
Point,Saudi Arabia,1549553.15,23.8859,45.0792
Point,Singapore,46985258.85,1.3521,103.8198
Point,South Korea,14762051.11,35.9078,127.7669
Point,Sri Lanka,434336.41,7.8731,80.7718
Point,Thailand,1950132,15.87,100.9925
Point,Vietnam,166910.18,14.0583,108.2772
Point,Australia,113666339.2,-25.2744,133.7751
Point,New Zealand,2846789.26,-40.9006,174.886
Point,Papua New Guinea,660826,-6.3149,143.9555
Point,Austria,4390061.65,47.5162,14.5501
Point,Belgium,25642481.84,50.5039,4.4699
Point,Bosnia-Herzegovina,94767.68,43.9159,17.6791
Point,Cyprus,524865.99,35.1264,33.4299
Point,Czech Republic,3123104.77,49.8175,15.473
Point,Denmark,22428206.93,56.2639,9.5018
Point,Estonia,3794044.25,58.5953,25.0136
Point,Finland,1401549.35,61.9241,25.7482
Point,France,16255174.81,46.6034,1.8883
Point,Georgia,228134,42.3154,43.3569
Point,Germany,32114111.55,51.1657,10.4515
Point,Greece,507142,39.0742,21.8243
Point,Hungary,9669724.83,47.1625,19.5033
Point,Ireland,64720582.28,53.4129,-8.2439
Point,Italy,10909645.29,41.8719,12.5674
Point,Lithuania,30000,55.1694,23.8813
Point,Netherlands,21839228.88,52.1326,5.2913
Point,Norway,236165347.7,60.472,8.4689
Point,Poland,3278758,51.9194,19.1451
Point,Portugal,2873298.57,39.3999,-8.2245
Point,Russia,11027,61.524,105.3188
Point,Spain,7333086.61,40.4637,-3.7492
Point,Sweden,5416732.65,60.1282,18.6435
Point,Switzerland,126308534.6,46.8182,8.2275
Point,Ukraine,3000,48.3794,31.1656
Point,United Kingdom,11758874389,55.3781,-3.436
Point,Barbados,33446,13.1939,-59.5432
Point,Canada,23360058.51,56.1304,-106.3468
Point,Costa Rica,2017486.42,9.7489,-83.7534
Point,Cuba,5000,21.5218,-77.7812
Point,Dominican Republic,875142.86,18.7357,-70.1627
Point,El Salvador,5930,13.7942,-88.8965
Point,Grenada,5270,12.1165,-61.679
Point,Guatemala,159378,15.7835,-90.2308
Point,Honduras,925644.13,15.2,-86.2419
Point,Jamaica,801962,18.1096,-77.2975
Point,Mexico,2531801.12,23.6345,-102.5528
Point,Trinidad & Tobago,32290.47,10.6918,-61.2225
Point,United States,1205408837,37.0902,-95.7129
Point,Argentina,1692654.58,-38.4161,-63.6167
Point,Brazil,27365694.99,-14.235,-51.9253
Point,Chile,108268,-35.6751,-71.543
Point,Colombia,2389553.71,4.5709,-74.2973
Point,Ecuador,179035,-1.8312,-78.1834
Point,Peru,6321664.17,-9.19,-75.0152
